"","thresholds.thresholds","thresholds.true.positives","thresholds.true.negatives","thresholds.sensitivity","thresholds.specificity","thresholds.precision","thresholds.false.pos.rate","thresholds.n.preds","thresholds.prop.preds","N","prevalence","AUC","AUCratio","meanPrecision"
"0.67",0.67,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.68",0.68,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.69",0.69,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.7",0.7,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.71",0.71,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.72",0.72,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.73",0.73,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.74",0.74,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.75",0.75,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.76",0.76,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.77",0.77,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.78",0.78,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.79",0.79,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.8",0.8,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.81",0.81,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.82",0.82,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.83",0.83,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.84",0.84,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.85",0.85,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.86",0.86,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.87",0.87,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.88",0.88,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.89",0.89,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.9",0.9,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.91",0.91,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.92",0.92,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.93",0.93,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.94",0.94,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.95",0.95,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.96",0.96,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.97",0.97,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.98",0.98,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.99",0.99,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"1",1,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
