"","CLASS","CLASS_AREA","AREA_SQ_KM","AREA_UNITS","NO_POINTS","WPLUS","S_WPLUS","WMINUS","S_WMINUS","CONTRAST","S_CONTRAST","STUDC","GEN_CLASS","WEIGHT","W_STD"
"1",1,18926.2,18926.2,18926.2,71,-0.791362396794525,0.118901399527403,0.612572419636479,0.0736856387755134,-1.403934816431,0.139882508453811,-10.0365287407938,1,-0.791362396794525,0.118901399527403
"2",2,12385.13,12385.13,12385.13,187,0.612572419636479,0.0736856387755134,-0.791362396794525,0.118901399527403,1.403934816431,0.139882508453811,10.0365287407938,2,0.612572419636479,0.0736856387755134
