"","CLASS","CLASS_AREA","AREA_SQ_KM","AREA_UNITS","NO_POINTS","WPLUS","S_WPLUS","WMINUS","S_WMINUS","CONTRAST","S_CONTRAST","STUDC","GEN_CLASS","WEIGHT","W_STD"
"1",100,6370.3,6370.3,6370.3,103,0.68212981242286,0.0993392983999062,-0.284108606999191,0.0805726889872923,0.966238419422051,0.127907210184682,7.55421385570774,2,0.050938424962934,0.0626503627245913
"2",200,443.11,6813.41,6813.41,116,0.734615770694171,0.0936482840495201,-0.354201419443878,0.0841624102608707,1.08881719013805,0.125909937679036,8.64758739626744,2,0.050938424962934,0.0626503627245913
"3",300,471.27,7284.68,7284.68,122,0.717883296202323,0.0913035259928895,-0.378085819184169,0.0859930145757312,1.09596911538649,0.12542381119451,8.73812639680384,2,0.050938424962934,0.0626503627245913
"4",400,395.71,7680.39,7680.39,128,0.712912658544865,0.0891342157446206,-0.406759505810352,0.08794804819743,1.11967216435522,0.125218878760936,8.94172009392337,2,0.050938424962934,0.0626503627245913
"5",500,444.27,8124.66,8124.66,135,0.709873036841349,0.0867903749214001,-0.443327832764636,0.0904070767959019,1.15320086960599,0.125323615945987,9.20178420404817,2,0.050938424962934,0.0626503627245913
"6",600,341.05,8465.71,8465.71,137,0.683018807670702,0.0861355715482841,-0.444911908570625,0.0911507978363155,1.12793071624133,0.125410544341959,8.99390655035976,2,0.050938424962934,0.0626503627245913
"7",700,319.77,8785.48,8785.48,141,0.674585387512161,0.08489923050114,-0.464535571237531,0.0926910663073991,1.13912095874969,0.125696114151904,9.06249939734069,2,0.050938424962934,0.0626503627245913
"8",800,339.45,9124.93,9124.93,142,0.643247411965692,0.0845788139751504,-0.45790068906427,0.0930913487390281,1.10114810102996,0.12577589190101,8.75484231824496,2,0.050938424962934,0.0626503627245913
"9",900,334.83,9459.76,9459.76,145,0.627879967678474,0.0836893554803056,-0.468953819364191,0.0943162695829011,1.09683378704267,0.126093088346441,8.69860355889698,2,0.050938424962934,0.0626503627245913
"10",1000,305.8,9765.56,9765.56,147,0.609484485539399,0.0831064784166295,-0.472737704481539,0.0951612430586543,1.08222219002094,0.126342189846789,8.56580205973409,2,0.050938424962934,0.0626503627245913
"11",1100,259.4,10024.96,10024.96,152,0.616827277762831,0.0817326991800271,-0.506889251135077,0.0973713294174754,1.12371652889791,0.127127534026974,8.8392851910388,2,0.050938424962934,0.0626503627245913
"12",1200,245.39,10270.35,10270.35,156,0.618647263777373,0.0806791536789164,-0.533893216285801,0.0992556264743771,1.15254048006317,0.127909363320936,9.01060289989361,2,0.050938424962934,0.0626503627245913
"13",1300,286.79,10557.14,10557.14,158,0.60361838669073,0.0801578175978205,-0.540001554321207,0.100241789320517,1.14361994101194,0.12834988137207,8.9101752863856,2,0.050938424962934,0.0626503627245913
"14",1400,227.39,10784.53,10784.53,160,0.594754800780074,0.0796499956720953,-0.549231727198416,0.101257257191306,1.14398652797849,0.128829941956329,8.87981870213281,2,0.050938424962934,0.0626503627245913
"15",1500,229.61,11014.14,11014.14,164,0.59843490877937,0.0786748097233493,-0.579799266376859,0.103381792430819,1.17823417515623,0.129913512350387,9.06937356892053,2,0.050938424962934,0.0626503627245913
"16",1600,196.61,11210.75,11210.75,167,0.598875619415086,0.0779652031686158,-0.602605188269062,0.105066583890776,1.20148080768415,0.130834093246375,9.18323945901188,2,0.050938424962934,0.0626503627245913
"17",1700,216.16,11426.91,11426.91,169,0.591574186312548,0.0774982980287294,-0.614067763995828,0.106237807732789,1.20564195030838,0.131500790831154,9.16832471263546,2,0.050938424962934,0.0626503627245913
"18",1800,189.16,11616.07,11616.07,170,0.580898461492655,0.0772639577846971,-0.615816627253162,0.106839308685621,1.19671508874582,0.131849751812345,9.07635450424694,2,0.050938424962934,0.0626503627245913
"19",1900,199.08,11815.15,11815.15,171,0.569606112615383,0.0770313783503484,-0.617091567284925,0.107451267490488,1.18669767990031,0.132210469085723,8.97582232410715,2,0.050938424962934,0.0626503627245913
"20",2000,190.04,12005.19,12005.19,171,0.553417221027748,0.0770224262227365,-0.607252074745041,0.107453638086527,1.16066929577279,0.132207180135072,8.77916989521274,2,0.050938424962934,0.0626503627245913
"21",2100,167.16,12172.35,12172.35,172,0.545305124868326,0.0767937783366645,-0.61012975944723,0.108075863192374,1.15543488431556,0.132580830424302,8.71494680352949,2,0.050938424962934,0.0626503627245913
"22",2200,188.3,12360.65,12360.65,174,0.541460672996705,0.0763490893317201,-0.623834140327045,0.109351567893984,1.16529481332375,0.133367720392363,8.73745768387955,2,0.050938424962934,0.0626503627245913
"23",2300,162.87,12523.52,12523.52,175,0.533996220171562,0.0761266515673328,-0.62719363815588,0.110007522267389,1.16118985832744,0.133779378210038,8.67988679469222,2,0.050938424962934,0.0626503627245913
"24",2400,160.99,12684.51,12684.51,180,0.549613935738824,0.0750701452107689,-0.680950884396494,0.113465521660709,1.23056482013532,0.136051281903931,9.04486016533274,2,0.050938424962934,0.0626503627245913
"25",2500,180.96,12865.47,12865.47,184,0.55754034880417,0.074253874109544,-0.724008588854394,0.11648152035254,1.28154893765856,0.138136101016046,9.27743673255769,2,0.050938424962934,0.0626503627245913
"26",2600,163.04,13028.51,13028.51,186,0.555732375773829,0.0738526267942615,-0.742603339828617,0.118083873996854,1.29833571560245,0.139276745304151,9.32198489250415,2,0.050938424962934,0.0626503627245913
"27",2700,159.93,13188.44,13188.44,187,0.54879496038094,0.0736512602746514,-0.747824047313029,0.118911323699008,1.29661900769397,0.139872838835475,9.26998421201069,2,0.050938424962934,0.0626503627245913
"28",2800,148.31,13336.75,13336.75,187,0.537452333902577,0.0736453709069754,-0.73957435172386,0.118913253227263,1.27702668562644,0.139871378234137,9.13000716621783,2,0.050938424962934,0.0626503627245913
"29",2900,153.36,13490.11,13490.11,187,0.525857238459659,0.0736394186246393,-0.730971569085297,0.118915282332243,1.25682880754496,0.139869969427079,8.98569444672829,2,0.050938424962934,0.0626503627245913
"30",3000,156.12,13646.23,13646.23,188,0.519597612087491,0.0734401314830677,-0.736378748056632,0.119760378634322,1.25597636014412,0.140484878911883,8.94029570920523,2,0.050938424962934,0.0626503627245913
"31",3100,139.56,13785.79,13785.79,188,0.509281147376699,0.0734349392210975,-0.728415370639267,0.119762275730447,1.23769651801597,0.140483781934221,8.81024486225388,2,0.050938424962934,0.0626503627245913
"32",3200,152.33,13938.12,13938.12,190,0.508868448752859,0.0730472115321697,-0.748753442974404,0.121505836973064,1.25762189172726,0.141772929472274,8.87067719069182,2,0.050938424962934,0.0626503627245913
"33",3300,140.8,14078.92,14078.92,191,0.504000494598091,0.0728533260552409,-0.755457228963384,0.122407637940322,1.25945772356148,0.142447312868443,8.84156884535016,2,0.050938424962934,0.0626503627245913
"34",3400,146.4,14225.32,14225.32,193,0.504073412602186,0.0724749005072127,-0.777314729355373,0.124271341446054,1.28138814195756,0.143860965895312,8.90712872656528,2,0.050938424962934,0.0626503627245913
"35",3500,139.87,14365.19,14365.19,193,0.494155059358259,0.0724700481245303,-0.769063288452575,0.124273299988879,1.26321834781083,0.143860213281148,8.78087359249291,2,0.050938424962934,0.0626503627245913
"36",3600,125.47,14490.66,14490.66,195,0.495790027949967,0.072098241504978,-0.792974873434109,0.126224760012165,1.28876490138408,0.145364529608288,8.86574534280748,2,0.050938424962934,0.0626503627245913
"37",3700,140.7,14631.36,14631.36,195,0.485995998522483,0.0720935133494266,-0.784543271861681,0.12622676148931,1.27053927038416,0.14536392256383,8.74040303794269,2,0.050938424962934,0.0626503627245913
"38",3800,124.97,14756.33,14756.33,196,0.482560415967857,0.0719077226617028,-0.793055199336723,0.127238610654334,1.27561561530458,0.146151923078821,8.72801115738059,2,0.050938424962934,0.0626503627245913
"39",3900,140.98,14897.31,14897.31,197,0.478081610824482,0.0717228548532953,-0.800792261509178,0.128275459100063,1.27887387233366,0.146965170416799,8.70188404985156,2,0.050938424962934,0.0626503627245913
"40",4000,127.35,15024.66,15024.66,198,0.474586583144908,0.0715398568910855,-0.809565158568066,0.129337904751574,1.28415174171297,0.147804752053255,8.68816275440377,2,0.050938424962934,0.0626503627245913
"41",4100,123.14,15147.8,15147.8,200,0.476499698814859,0.0711821570117546,-0.835973216645513,0.131542653861243,1.31247291546037,0.149567273364546,8.77513433210372,2,0.050938424962934,0.0626503627245913
"42",4200,127.09,15274.89,15274.89,201,0.47308726408178,0.0710032693229319,-0.845505164000574,0.132689261302327,1.31859242808235,0.150492206839763,8.76186518738695,2,0.050938424962934,0.0626503627245913
"43",4300,125.46,15400.35,15400.35,203,0.474831372578372,0.0706534452093019,-0.873467066917996,0.135073631289919,1.34829843949637,0.152436200391471,8.84500162057177,2,0.050938424962934,0.0626503627245913
"44",4400,128.98,15529.33,15529.33,203,0.466380178772525,0.0706495263015573,-0.865299331191917,0.135075545897382,1.33167950996444,0.152436080591539,8.73598628878915,2,0.050938424962934,0.0626503627245913
"45",4500,122.03,15651.36,15651.36,203,0.458449594283737,0.0706458786107463,-0.857509803943474,0.135077386449419,1.31595939822721,0.152436020988118,8.6328637397967,2,0.050938424962934,0.0626503627245913
"46",4600,114.85,15766.21,15766.21,203,0.451042647451776,0.0706424976275953,-0.850122752015604,0.135079145173893,1.30116539946738,0.152436012582245,8.53581366650712,2,0.050938424962934,0.0626503627245913
"47",4700,120.62,15886.83,15886.83,204,0.448299974597681,0.070467898975998,-0.860719577277271,0.136321598475026,1.30901955187495,0.153457821556536,8.53015857124422,2,0.050938424962934,0.0626503627245913
"48",4800,114.41,16001.24,16001.24,204,0.441031216698747,0.0704646221972869,-0.853248256950544,0.136323387989569,1.29427947364929,0.153457906587966,8.43410093638528,2,0.050938424962934,0.0626503627245913
"49",4900,116.48,16117.72,16117.72,205,0.438637653825859,0.0702914759270482,-0.864342160182207,0.137600770584166,1.30297981400807,0.154514930195625,8.43271140438282,2,0.050938424962934,0.0626503627245913
"50",5000,118.8,16236.52,16236.52,206,0.436128227601915,0.0701195403597716,-0.875579530060502,0.138914846843618,1.31170775766242,0.155608754939597,8.4295241496636,2,0.050938424962934,0.0626503627245913
"51",5100,117.55,16354.07,16354.07,206,0.428822094990328,0.0701163022216343,-0.867723988123068,0.13891673635838,1.2965460831134,0.155608982638211,8.33207737195898,2,0.050938424962934,0.0626503627245913
"52",5200,110.33,16464.4,16464.4,206,0.422012934579822,0.0701133054374244,-0.860294371847201,0.138918537109797,1.28230730642702,0.155609239931591,8.24056018132823,2,0.050938424962934,0.0626503627245913
"53",5300,105.47,16569.87,16569.87,206,0.415546777106091,0.0701104783226554,-0.853140047144028,0.138920283805585,1.26868682425012,0.155609525490106,8.15301518499126,2,0.050938424962934,0.0626503627245913
