"","CLASS","CLASS_AREA","AREA_SQ_KM","AREA_UNITS","NO_POINTS","WPLUS","S_WPLUS","WMINUS","S_WMINUS","CONTRAST","S_CONTRAST","STUDC","GEN_CLASS","WEIGHT","W_STD"
"1",100,1453.05,1453.05,1453.05,25,0.745312411642383,0.20174304348178,-0.0548431332375225,0.0657692971590062,0.800155544879905,0.212192968879935,3.7708862320158,2,0.126557307165312,0.0626716846958759
"2",200,951.06,2404.11,2404.11,54,1.01726837507725,0.137637315128672,-0.156142853665708,0.0702623660368016,1.17341122874296,0.154534237620402,7.59321200797801,2,0.126557307165312,0.0626716846958759
"3",300,1068.95,3473.06,3473.06,70,0.906566679268608,0.120745879701594,-0.200447065925143,0.0731800174111235,1.10701374519375,0.141190943099068,7.84054359929452,2,0.126557307165312,0.0626716846958759
"4",400,906.53,4379.59,4379.59,86,0.879970547507824,0.108907356536252,-0.256657578321153,0.0764939413236592,1.13662812582898,0.133086946643695,8.54049292205942,2,0.126557307165312,0.0626716846958759
"5",500,1099.1,5478.69,5478.69,96,0.763906406336693,0.10296818626283,-0.275005127082707,0.0788149383980993,1.0389115334194,0.129669741639879,8.01198120919128,2,0.126557307165312,0.0626716846958759
"6",600,823.07,6301.76,6301.76,109,0.750713478539648,0.0966218961460375,-0.326590244189088,0.0821683256197767,1.07730372272874,0.126836211509227,8.49366052415061,2,0.126557307165312,0.0626716846958759
"7",700,785.14,7086.9,7086.9,113,0.667959673619215,0.0948311621330775,-0.321877742559335,0.0832951435942265,0.989837416178551,0.126218185131513,7.84227261029931,2,0.126557307165312,0.0626716846958759
"8",800,860.81,7947.71,7947.71,119,0.604072211723803,0.0923639340317045,-0.327992525671931,0.0850723360406058,0.932064737395734,0.125572284638048,7.42253547494449,2,0.126557307165312,0.0626716846958759
"9",900,846.36,8794.07,8794.07,123,0.534938622207547,0.0908042252414929,-0.320247438283261,0.0863254634978652,0.855186060490808,0.125289636322519,6.82567278182052,2,0.126557307165312,0.0626716846958759
"10",1000,792.13,9586.2,9586.2,128,0.487894637886023,0.0889844276415294,-0.322186911766779,0.087969394843082,0.810081549652802,0.125127306339378,6.4740588873195,2,0.126557307165312,0.0626716846958759
"11",1100,662.55,10248.75,10248.75,136,0.481604345862361,0.0863239610264556,-0.354921394426638,0.0907990940519406,0.836525740288998,0.125284882280147,6.67698867624318,2,0.126557307165312,0.0626716846958759
"12",1200,633.65,10882.4,10882.4,141,0.457400920059466,0.0847661271709486,-0.366287999275806,0.0927159139402142,0.823688919335273,0.125624587614569,6.55674923974631,2,0.126557307165312,0.0626716846958759
"13",1300,776.02,11658.42,11658.42,148,0.436706025771581,0.0827262628169064,-0.389385730931225,0.0956142172647742,0.826091756702806,0.126434619874492,6.53374651280514,2,0.126557307165312,0.0626716846958759
"14",1400,616.94,12275.36,12275.36,153,0.418132704318896,0.0813537946282046,-0.404092391082454,0.0978602729347049,0.82222509540135,0.127259863740549,6.46099305180511,2,0.126557307165312,0.0626716846958759
"15",1500,636.34,12911.7,12911.7,156,0.386624240806796,0.0805521739932369,-0.399052265895272,0.0992903492552922,0.785676506702068,0.127856271611034,6.14499779167862,2,0.126557307165312,0.0626716846958759
"16",1600,530.34,13442.04,13442.04,162,0.384080643224641,0.0790451800186573,-0.430602112977862,0.102337338590866,0.814682756202503,0.129309981648918,6.30023100934623,2,0.126557307165312,0.0626716846958759
