"","CLASS","CLASS_AREA","AREA_SQ_KM","AREA_UNITS","NO_POINTS","WPLUS","S_WPLUS","WMINUS","S_WMINUS","CONTRAST","S_CONTRAST","STUDC","GEN_CLASS","WEIGHT","W_STD"
"18",17306,1261.28,1261.28,1261.28,26,0.929545337075211,0.198169300152341,-0.065630079093784,0.0659081297049838,0.995175416168995,0.20884193325115,4.76520879057471,17306,0.929545337075211,0.198169300152341
"19",17551,261.44,261.44,261.44,0,0,0,0,0,0,0,0,17551,0,0
"20",18370,1308.6,1308.6,1308.6,16,0.398679492477324,0.251542510393463,-0.0215055489930519,0.0645432624777384,0.420185041470376,0.259691099705623,1.61801864579373,18370,0.398679492477324,0.251542510393463
"21",23781,2.84,2.84,2.84,0,0,0,0,0,0,0,0,23781,0,0
"22",24183,2.03,2.03,2.03,0,0,0,0,0,0,0,0,24183,0,0
"23",24196,18,18,18,0,0,0,0,0,0,0,0,24196,0,0
"24",24204,4.02,4.02,4.02,0,0,0,0,0,0,0,0,24204,0,0
"25",24253,148.1,148.1,148.1,1,-0.200610884541054,1.0033932910544,0.000864767274945363,0.0626371017821022,-0.201475651816,1.00534645921326,-0.200404198940201,24253,-0.200610884541054,1.0033932910544
"26",24373,3.71,3.71,3.71,0,0,0,0,0,0,0,0,24373,0,0
"27",24390,170.94,170.94,170.94,0,0,0,0,0,0,0,0,24390,0,0
"28",24396,63.94,63.94,63.94,0,0,0,0,0,0,0,0,24396,0,0
"29",24398,47.05,47.05,47.05,0,0,0,0,0,0,0,0,24398,0,0
"30",24415,1.63,1.63,1.63,0,0,0,0,0,0,0,0,24415,0,0
"31",24446,36.36,36.36,36.36,0,0,0,0,0,0,0,0,24446,0,0
"32",24459,62.02,62.02,62.02,0,0,0,0,0,0,0,0,24459,0,0
"33",24471,25.27,25.27,25.27,0,0,0,0,0,0,0,0,24471,0,0
"34",24485,76.62,76.62,76.62,0,0,0,0,0,0,0,0,24485,0,0
"35",24501,1271.37,1271.37,1271.37,0,0,0,0,0,0,0,0,24501,0,0
"36",24599,43.5,43.5,43.5,0,0,0,0,0,0,0,0,24599,0,0
"37",25185,14.63,14.63,14.63,0,0,0,0,0,0,0,0,25185,0,0
"38",25823,26.81,26.81,26.81,0,0,0,0,0,0,0,0,25823,0,0
"39",26091,218.27,218.27,218.27,6,1.22440216303804,0.413977835112064,-0.0166713674556599,0.063250915213381,1.2410735304937,0.418781955484475,2.96353153291417,26091,1.22440216303804,0.413977835112064
"40",26176,28.62,28.62,28.62,0,0,0,0,0,0,0,0,26176,0,0
"41",27185,147.57,147.57,147.57,1,-0.197001386972872,1.00340554043897,0.000847618775899569,0.06263709735301,-0.197849005748771,1.0053586845243,-0.19679444639441,27185,-0.197001386972872,1.00340554043897
